编号,Aligner material,Alveolar height,Planned Intrusion (mm),PDL_max (kPa),牙槽脊顶应力 (Mpa),牙槽脊顶形变 (mm),Intrusion Efficacy,Disp_Z_17,Disp_Z_16,Disp_Z_15,Disp_Z_14,Disp_Z_13,Disp_Z_12,Disp_Z_11,Disp_X_17,Disp_X_16,Disp_X_15,Disp_X_14,Disp_X_13,Disp_X_12,Disp_X_11,Disp_Y_17,Disp_Y_16,Disp_Y_15,Disp_Y_14,Disp_Y_13,Disp_Y_12,Disp_Y_11
TPU-01,TPU(soft),1.0,0.1,6.921,0.221,0.0457,0.4567,0.04567,-0.01148,-0.00687,-0.00476,-0.00352,-0.00078,0.00077,-0.002144,0.000927,0.000591,0.000411,0.000324,6.1e-05,-7.4e-05,0.001286,0.000526,0.00043,0.000306,0.000225,0.001337,0.000907
TPU-02,TPU(soft),1.0,0.15,12.945,0.336,0.0684,0.454533333333333,0.06818,-0.01556,-0.0129,-0.00684,-0.00476,-0.0025,0.00125,-0.004511,0.001307,0.001104,0.000594,0.000445,0.000247,-9.5e-05,0.003022,0.000912,0.000836,0.00037,0.000336,0.002654,0.002186
TPU-03,TPU(soft),1.0,0.18,16.29,0.402,0.0811,0.449555555555556,0.08092,-0.01835,-0.01095,-0.01067,-0.00446,-0.00167,0.00011,-0.004549,0.001483,0.001027,0.000885,0.000434,0.00014,-8e-06,0.002803,0.000608,0.000464,0.000698,0.000261,0.002561,0.001794
TPU-04,TPU(soft),1.0,0.2,19.584,0.446,0.0896,0.4473,0.08946,-0.02088,-0.01301,-0.01218,-0.00794,-0.0011,0.00139,-0.004191,0.001703,0.001181,0.000951,0.000643,8.8e-05,-0.00012,0.002588,0.000993,0.000486,0.000513,0.00031,0.001953,0.002235
TPU-05,TPU(soft),0.66,0.1,7.183,0.256,0.0576,0.57279,0.057279,-0.013367,-0.009176,-0.005537,-0.004658,-0.001031,0.00094,-0.005446,0.001236,0.000721,0.000518,0.000396,7.4e-05,-8e-05,0.002577,0.000551,0.000322,0.000274,0.000312,0.002267,0.00186
TPU-06,TPU(soft),0.66,0.15,14.527,0.394,0.0874,0.578873333333333,0.086831,-0.020536,-0.015962,-0.008426,-0.005992,-0.003397,0.001619,-0.008259,0.001435,0.001264,0.000804,0.000488,0.00034,-0.000152,0.005738,0.00067,0.000854,0.000562,0.000255,0.003692,0.004151
TPU-07,TPU(soft),0.66,0.18,21.841,0.461,0.1006,0.556322222222222,0.100138,-0.024377,-0.013598,-0.012416,-0.005367,-0.001999,0.000127,-0.008683,0.002176,0.0012,0.001196,0.000429,0.000168,-1.1e-05,0.004472,0.001379,0.000802,0.000949,0.000183,0.002769,0.003567
TPU-08,TPU(soft),0.66,0.2,25.039,0.51,0.1107,0.550985,0.110197,-0.024992,-0.015405,-0.014071,-0.00982,-0.001276,0.001754,-0.008951,0.001875,0.001372,0.001386,0.000883,0.000127,-0.000132,0.005439,0.00143,0.000856,0.00085,0.000452,0.003199,0.004693
TPU-09,TPU(soft),0.58,0.1,4.385,0.207,0.0487,0.48274,0.048274,-0.011789,-0.007561,-0.005023,-0.003536,-0.000798,0.000858,-0.005777,0.001303,0.000836,0.000666,0.000373,8.8e-05,-0.000106,0.002739,0.00082,0.000381,0.000274,0.000159,0.002632,0.002541
TPU-10,TPU(soft),0.58,0.15,11.217,0.323,0.0747,0.493153333333333,0.073973,-0.01707,-0.014056,-0.007526,-0.004837,-0.002705,0.001257,-0.008634,0.00218,0.001887,0.001033,0.000626,0.000323,-0.000172,0.00519,0.00139,0.001064,0.000612,0.00047,0.004481,0.003856
