±àºÅ,Aligner material,Alveolar height,Planned Intrusion (mm),PDL_max (kPa),ÑÀ²Û¼¹¶¥Ó¦Á¦ (Mpa),ÑÀ²Û¼¹¶¥ÐÎ±ä (mm),Intrusion Efficacy,Disp_Z_17,Disp_Z_16,Disp_Z_15,Disp_Z_14,Disp_Z_13,Disp_Z_12,Disp_Z_11,Disp_X_17,Disp_X_16,Disp_X_15,Disp_X_14,Disp_X_13,Disp_X_12,Disp_X_11,Disp_Y_17,Disp_Y_16,Disp_Y_15,Disp_Y_14,Disp_Y_13,Disp_Y_12,Disp_Y_11
TPU-01,TPU(soft),100%,0.10 ,6.921,0.221 ,0.046 ,45.7%,0.04567 ,-0.01148 ,-0.00687 ,-0.00476 ,-0.00352 ,-0.00078 ,0.00077 ,-0.00214 ,0.00093 ,0.00059 ,0.00041 ,0.00032 ,0.00006 ,-0.00007 ,0.00129 ,0.00053 ,0.00043 ,0.00031 ,0.00023 ,0.00134 ,0.00091 
TPU-02,TPU(soft),100%,0.15 ,12.945,0.336 ,0.068 ,45.5%,0.06818 ,-0.01556 ,-0.01290 ,-0.00684 ,-0.00476 ,-0.00250 ,0.00125 ,-0.00451 ,0.00131 ,0.00110 ,0.00059 ,0.00045 ,0.00025 ,-0.00010 ,0.00302 ,0.00091 ,0.00084 ,0.00037 ,0.00034 ,0.00265 ,0.00219 
TPU-03,TPU(soft),100%,0.18 ,16.29,0.402 ,0.081 ,45.0%,0.08092 ,-0.01835 ,-0.01095 ,-0.01067 ,-0.00446 ,-0.00167 ,0.00011 ,-0.00455 ,0.00148 ,0.00103 ,0.00089 ,0.00043 ,0.00014 ,-0.00001 ,0.00280 ,0.00061 ,0.00046 ,0.00070 ,0.00026 ,0.00256 ,0.00179 
TPU-04,TPU(soft),100%,0.20 ,19.584,0.446 ,0.090 ,44.7%,0.08946 ,-0.02088 ,-0.01301 ,-0.01218 ,-0.00794 ,-0.00110 ,0.00139 ,-0.00419 ,0.00170 ,0.00118 ,0.00095 ,0.00064 ,0.00009 ,-0.00012 ,0.00259 ,0.00099 ,0.00049 ,0.00051 ,0.00031 ,0.00195 ,0.00224 
TPU-05,TPU(soft),66%,0.10 ,7.183,0.256 ,0.058 ,57.3%,0.05728 ,-0.01337 ,-0.00918 ,-0.00554 ,-0.00466 ,-0.00103 ,0.00094 ,-0.00545 ,0.00124 ,0.00072 ,0.00052 ,0.00040 ,0.00007 ,-0.00008 ,0.00258 ,0.00055 ,0.00032 ,0.00027 ,0.00031 ,0.00227 ,0.00186 
TPU-06,TPU(soft),66%,0.15 ,14.527,0.394 ,0.087 ,57.9%,0.08683 ,-0.02054 ,-0.01596 ,-0.00843 ,-0.00599 ,-0.00340 ,0.00162 ,-0.00826 ,0.00144 ,0.00126 ,0.00080 ,0.00049 ,0.00034 ,-0.00015 ,0.00574 ,0.00067 ,0.00085 ,0.00056 ,0.00026 ,0.00369 ,0.00415 
TPU-07,TPU(soft),66%,0.18 ,21.841,0.461 ,0.101 ,55.6%,0.10014 ,-0.02438 ,-0.01360 ,-0.01242 ,-0.00537 ,-0.00200 ,0.00013 ,-0.00868 ,0.00218 ,0.00120 ,0.00120 ,0.00043 ,0.00017 ,-0.00001 ,0.00447 ,0.00138 ,0.00080 ,0.00095 ,0.00018 ,0.00277 ,0.00357 
TPU-08,TPU(soft),66%,0.20 ,25.039,0.510 ,0.111 ,55.1%,0.11020 ,-0.02499 ,-0.01541 ,-0.01407 ,-0.00982 ,-0.00128 ,0.00175 ,-0.00895 ,0.00188 ,0.00137 ,0.00139 ,0.00088 ,0.00013 ,-0.00013 ,0.00544 ,0.00143 ,0.00086 ,0.00085 ,0.00045 ,0.00320 ,0.00469 
TPU-09,TPU(soft),58%,0.10 ,4.385,0.207 ,0.049 ,48.3%,0.04827 ,-0.01179 ,-0.00756 ,-0.00502 ,-0.00354 ,-0.00080 ,0.00086 ,-0.00578 ,0.00130 ,0.00084 ,0.00067 ,0.00037 ,0.00009 ,-0.00011 ,0.00274 ,0.00082 ,0.00038 ,0.00027 ,0.00016 ,0.00263 ,0.00254 
TPU-10,TPU(soft),58%,0.15 ,11.217,0.323 ,0.075 ,49.3%,0.07397 ,-0.01707 ,-0.01406 ,-0.00753 ,-0.00484 ,-0.00271 ,0.00126 ,-0.00863 ,0.00218 ,0.00189 ,0.00103 ,0.00063 ,0.00032 ,-0.00017 ,0.00519 ,0.00139 ,0.00106 ,0.00061 ,0.00047 ,0.00448 ,0.00386 
